"","lhs","op","rhs","block","group","label","exo","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","fmi"
"50","EF_DELTA","~","Multimorbidity",1,1,"",0,-0.0393438722589365,0.0275057824639101,-1.43038549477947,0.152606409056196,-0.0932542152547936,0.0145664707369207,-0.0295930675285958,-0.0468034931303402,-0.0295930675285958,0.29381876977293
"51","EF_DELTA","~","Education",1,1,"",0,0.0638173586776292,0.0213919956621343,2.98323539727485,0.00285218536993215,0.0218898176224089,0.10574489973285,0.0480011573953487,0.105777943448564,0.0480011573953487,0.239303869501801
"52","EF_DELTA","~","Income",1,1,"",0,0.0215466710680503,0.0421118893223932,0.511652918326624,0.608893942546823,-0.0609911153247772,0.104084457460878,0.0162066429998746,0.0182846772143642,0.0162066429998746,0.245168942565763
"53","EF_DELTA","~","BMI",1,1,"",0,-0.00185851699250949,0.00805153309221592,-0.230827715818031,0.817448648496708,-0.0176392318735851,0.0139221978885661,-0.00139791067082584,-0.0068586916111926,-0.00139791067082584,0.225573907438359
"54","EF_DELTA","~","Source.BL",1,1,"",0,-0.525309034673015,0.0804352500768522,-6.53083112405452,6.54056808713221e-11,-0.682959227911117,-0.367658841434912,-0.395118854446998,-0.189784800638073,-0.395118854446998,0.228889308872876
"55","EF_DELTA","~","White",1,1,"",0,0.548259251031894,0.185515486339195,2.955328753684,0.00312336035305028,0.18465557923264,0.911862922831148,0.412381194514452,0.0966010499945945,0.412381194514452,0.274217403107982
"56","EF_DELTA","~","Smoking",1,1,"",0,-0.0058154761387666,0.0286698456128343,-0.20284295274207,0.839257784308774,-0.0620073409822455,0.0503763887047123,-0.00437419522290077,-0.00634211561297281,-0.00437419522290077,0.276376588151896
"57","EF_DELTA","~","Alcohol",1,1,"",0,0.0463267922578742,0.0183354885778663,2.5266189150693,0.0115166392694381,0.0103898950063107,0.0822636895094376,0.0348453726833943,0.0773605642539465,0.0348453726833943,0.242371663624941
"58","EF_DELTA","~","Depression",1,1,"",0,-0.00360020105263015,0.00896984490401412,-0.401367146383881,0.688149833993411,-0.021180774011408,0.0139803719061477,-0.00270794374701657,-0.0124006987559358,-0.00270794374701657,0.249172371167438
"59","EF_BL","~","Multimorbidity",1,1,"",0,0.00138642250729236,0.0352261442443216,0.0393577706852164,0.968605147914628,-0.0676555515257909,0.0704283965403756,0.000330898278210267,0.00052333862571328,0.000330898278210267,0.0845307882936494
"60","EF_BL","~","Education",1,1,"",0,0.508620532646355,0.025093891788577,20.2686987308156,0,0.459437408508798,0.557803656783911,0.121392762761588,0.267507649632306,0.121392762761588,0.0358011958163652
"61","EF_BL","~","Income",1,1,"",0,0.480891645692177,0.0542258578022589,8.86830868486776,0,0.374610917368959,0.587172374015395,0.11477469294408,0.129491234728655,0.11477469294408,0.072673011425754
"62","EF_BL","~","BMI",1,1,"",0,0.00205636535067918,0.0105118957237997,0.195622693062244,0.844905496953452,-0.0185465716772088,0.0226593023785671,0.00049079393210363,0.00240802527314192,0.00049079393210363,0.0345700619473022
"63","EF_BL","~","Source.BL",1,1,"",0,0.0165928964028473,0.104723449635937,0.158444899022437,0.874106236285306,-0.188661293220383,0.221847086026078,0.00396023637912975,0.00190219389237879,0.00396023637912975,0.0335606570778239
"64","EF_BL","~","White",1,1,"",0,4.10946917149527,0.215337291313287,19.0838713835057,0,3.68741583599282,4.53152250699772,0.980809432949578,0.229756405791224,0.980809432949578,0.0407899892671569
"65","EF_BL","~","Smoking",1,1,"",0,-0.0889599635594763,0.0361430536455948,-2.46132948344056,0.0138423179652314,-0.159799046996141,-0.0181208801228113,-0.0212321270151389,-0.0307843151431262,-0.0212321270151389,0.0357906159630822
"66","EF_BL","~","Alcohol",1,1,"",0,0.121171306517086,0.0236942183873936,5.11396090539769,3.15472675760375e-07,0.0747314918359678,0.167611121198204,0.0289200272529456,0.0642056449461812,0.0289200272529456,0.049405500003149
"67","EF_BL","~","Depression",1,1,"",0,-0.0696157404213894,0.011429831037231,-6.09070599509534,1.1241383379712e-09,-0.0920177976037402,-0.0472136832390386,-0.016615229860022,-0.0760874225994404,-0.016615229860022,0.036518937413909
"68","EF_BL","~","Age_BL",1,1,"",0,-1.29433314095393,0.0961585817361822,-13.4604017403774,0,-1.48280049796129,-1.10586578394656,-0.30891925478661,-0.168380680755093,-0.30891925478661,0.0336091704508892
"69","EF_BL","~","Language_BL",1,1,"",0,-1.10686280775151,0.133422385995604,-8.29593024807684,0,-1.3683658790343,-0.845359736468727,-0.26417559969886,-0.100099244822789,-0.26417559969886,0.0294429347413211
"70","EF_DELTA","~","Age_BL",1,1,"",0,-0.407225936886951,0.077039020946407,-5.28596978367938,1.25040534371124e-07,-0.558219643346135,-0.256232230427766,-0.306300929669016,-0.166953526704617,-0.306300929669016,0.224493971728868
"71","EF_DELTA","~","Language_FU1",1,1,"",0,0.0287198059458103,0.102395880346333,0.280478138853549,0.779110695311469,-0.171972431698276,0.229412043589896,0.0216020210509271,0.00821323573611338,0.0216020210509271,0.20712656986807
"72","EF_BL","~","Material_deprivation",1,1,"c111a",0,-6.17870811542127,1.41032141335355,-4.38106381773583,1.18101271076032e-05,-8.94288729221985,-3.4145289386227,-1.47467591315261,-0.0579078411703773,-1.47467591315261,0.0741861955031997
"73","EF_BL","~","Social_deprivation",1,1,"c121a",0,0.293531177887987,1.29594556133948,0.226499620543163,0.820812854325541,-2.24647544826193,2.83353780403791,0.0700572594957768,0.00287539865039619,0.0700572594957768,0.0726596088806081
"74","EF_BL","~","Physical_activity",1,1,"b11a",0,0.0891907995634862,0.0607345315798852,1.46853523429537,0.141958892713425,-0.0298466949509992,0.208228294077972,0.0212872207804767,0.0188392297066229,0.0212872207804767,0.117888424858373
"75","EF_BL","~","MatINT",1,1,"int1a",0,0.862403981138736,1.53843791307068,0.560571196154026,0.575089891938906,-2.15287892093077,3.87768688320824,0.205830467248978,0.00710166024051172,0.205830467248978,0.162630843642363
"76","EF_BL","~","SocINT",1,1,"int2a",0,3.0344631869654,1.44401260212489,2.10141046033819,0.0356049505019471,0.204250493578662,5.86467588035214,0.724237120053873,0.0265160015693528,0.724237120053873,0.154179267130965
"77","EF_DELTA","~","Material_deprivation",1,1,"c211a",0,0.0418344052636829,1.09596470859486,0.0381713069185583,0.969551097978884,-2.10621695190918,2.18988576243655,0.0314663582638492,0.00123562666230692,0.0314663582638492,0.270969639281906
"78","EF_DELTA","~","Social_deprivation",1,1,"c221a",0,1.20260402238508,0.994665405203526,1.20905383468022,0.226642163590419,-0.74690434848177,3.15211239325193,0.90455616087761,0.0371261962416876,0.90455616087761,0.25915018408733
"79","EF_DELTA","~","Physical_activity",1,1,"b21a",0,0.0409808301257883,0.0451661470622359,0.907335090356934,0.364229623214614,-0.0475431914366335,0.12950485168821,0.0308243292706123,0.0272795883347175,0.0308243292706123,0.251814672305852
"80","EF_DELTA","~","MatINT",1,1,"int3a",0,-0.0977413731236645,1.16608563895831,-0.0838200642029853,0.933199495229146,-2.38322722837133,2.187744482124,-0.0735175997967333,-0.00253653903832794,-0.0735175997967333,0.313996721781572
"81","EF_DELTA","~","SocINT",1,1,"int4a",0,1.83850936574036,1.08731291163845,1.69087421482924,0.0908608289730075,-0.292584780996388,3.96960351247711,1.38286164244935,0.0506297736833169,1.38286164244935,0.29626454242267
"82","MEM_DELTA","~","Multimorbidity",1,1,"",0,-0.0127110597904092,0.00926648586825617,-1.37172386286725,0.170149416863891,-0.0308730383554406,0.00545091877462231,-0.00880209582191291,-0.0139211263224203,-0.00880209582191291,0.260063199377925
"83","MEM_DELTA","~","Education",1,1,"",0,0.0679423224362598,0.00664655564117785,10.2221851593827,0,0.0549153127583097,0.0809693321142099,0.0470483848167008,0.103678362325686,0.0470483848167008,0.217127260444953
"84","MEM_DELTA","~","Income",1,1,"",0,0.028942464103077,0.0140703557447362,2.0569816874676,0.039687987408747,0.00136507359372772,0.0565198546124262,0.0200419435167615,0.0226117443294911,0.0200419435167615,0.228154032836077
"85","MEM_DELTA","~","BMI",1,1,"",0,-0.00245247415566838,0.00274159289345892,-0.894543519396942,0.371031155910458,-0.00782589748711882,0.00292094917578205,-0.00169827794652071,-0.00833240989454194,-0.00169827794652071,0.205659199821246
"86","MEM_DELTA","~","Source.BL",1,1,"",0,-0.407259070621553,0.0272306491414183,-14.9559075329609,0,-0.460630162214379,-0.353887979028727,-0.282016875308767,-0.135459282326468,-0.282016875308767,0.198903874694264
"87","MEM_DELTA","~","White",1,1,"",0,0.337840389688293,0.0582926984771644,5.79558672893894,6.80827327848021e-09,0.223588800111398,0.452091979265188,0.233946148596712,0.0548023137263642,0.233946148596712,0.264475837749385
"88","MEM_DELTA","~","Smoking",1,1,"",0,-0.0358522538904368,0.00971510914589449,-3.69036038113763,0.000223936573095385,-0.0548935179222657,-0.016810989858608,-0.0248268027511982,-0.0359962108056425,-0.0248268027511982,0.252969955334842
"89","MEM_DELTA","~","Alcohol",1,1,"",0,0.0135106888981029,0.00617421232139558,2.18824494442541,0.0286517648708686,0.00140945511526415,0.0256119226809417,0.0093558192835256,0.0207709489982413,0.0093558192835256,0.21650375331575
"90","MEM_DELTA","~","Depression",1,1,"",0,-0.0125420911672358,0.003017290907965,-4.15673912453298,3.22822258305155e-05,-0.0184558726777273,-0.0066283096567442,-0.00868508921218937,-0.0397723088256342,-0.00868508921218937,0.223370361228867
"91","MEM_BL","~","Multimorbidity",1,1,"",0,-0.0171188372664953,0.00873199013484588,-1.96047372960042,0.0499404455861325,-0.0342332234441523,-4.45108883837322e-06,-0.0128295492842911,-0.0202908238969295,-0.0128295492842911,0.0925528530638973
"92","MEM_BL","~","Education",1,1,"",0,0.0880918093022248,0.00622166910965282,14.158870835087,0,0.0758975619235798,0.10028605668087,0.0660195661300683,0.145484282286947,0.0660195661300683,0.0436815401893176
"93","MEM_BL","~","Income",1,1,"",0,0.0695457008865837,0.0134408742821298,5.174194730699,2.2889600659326e-07,0.0432020713728787,0.0958893304002888,0.0521203620984977,0.0588032942586681,0.0521203620984977,0.0804534213654313
"94","MEM_BL","~","BMI",1,1,"",0,-0.00377191268078058,0.00260394095545514,-1.44854001888123,0.147466082311107,-0.00887554317134146,0.0013317178097803,-0.00282682397646415,-0.0138694941660605,-0.00282682397646415,0.0409713624114845
"95","MEM_BL","~","Source.BL",1,1,"",0,0.00436280751709794,0.0260052679235658,0.167766297579438,0.86676713728987,-0.0466065810214057,0.0553321960556016,0.00326966447470312,0.00157049610136527,0.00326966447470312,0.0446720074069404
"96","MEM_BL","~","White",1,1,"",0,0.386206766340632,0.0535014259478017,7.21862566275209,5.25135490647699e-13,0.281345898361404,0.49106763431986,0.289438976815989,0.0678016103588492,0.289438976815989,0.0534483858878263
